XanB,Logan4476,Evan8738,miraj12,miraj12,miraj12,120,162
XanB,Logan4476,Evan8738,miraj12,miraj12,miraj12,149,129
XanB,Logan4476,Evan8738,miraj12,miraj12,miraj12,131,104
Brennan4476,Charlemagne,.sirtricky,Darre2655,stel,cryoforce,115,143
Brennan4476,Charlemagne,.sirtricky,Darre2655,stel,cryoforce,136,112
Brennan4476,Charlemagne,.sirtricky,Darre2655,stel,cryoforce,157,120
miraj12,CGorms081,Andrew,Darre2655,stel,cryoforce,150,135
miraj12,CGorms081,Andrew,Darre2655,stel,cryoforce,148,144
XanB,Logan4476,Evan8738,Brennan4476,Charlemagne,.sirtricky,147,103
XanB,Logan4476,Evan8738,Brennan4476,Charlemagne,.sirtricky,150,148
Brennan4476,Charlemagne,.sirtricky,miraj12,CGorms081,Andrew,156,121
Brennan4476,Charlemagne,.sirtricky,miraj12,CGorms081,Andrew,157,142
XanB,Logan4476,Evan8738,Brennan4476,Charlemagne,.sirtricky,134,154
XanB,Logan4476,Evan8738,Brennan4476,Charlemagne,.sirtricky,115,107
XanB,Logan4476,Evan8738,Brennan4476,Charlemagne,.sirtricky,123,136